Time (sec),RPM,RPM Rate (RPM/sec),Air Temp (F),Coolant Temp (F),TPS (%),TPS Rate (%/sec),MAP (psi),Battery Volt (V),Fuel Open Time (ms),Fuel Duty Cycle (%),Fuel Angle (deg),Accel Compensation - Fuel (%),Starting Compensation - Fuel (%),Air Temp Compensation - Fuel (%),Coolant Temp Compensation - Fuel (%),U1: ÿÿÿÿÿÿÿÿ Compensation - Fuel (%),Ignition Angle (DBTDC),Coolant Temp Compensation - Ignition (deg),   Oil P,  Fuel P,  Comp P,Oil T (F),Res T (F),   EMPTY,  Comp S,Measured AFR #1,Target AFR,Lambda/AFR STF #1 (%),PWM Duty Cycle % #1,PWM Duty Cycle % #2,PWM Duty Cycle % #3,PWM Duty Cycle % #4,Accel Base Comp (%),
0.000,1332,10000,91.6,89.8,0.7,0,12.11,11.10,3.04,6.7,4.1,100.0,136.7,100.0,100.0,100.0,1.0,0.0,0.05,41.72,13.93,88.0,88.0,0.00,0.0,7.36,13.92,100.0,0.0,0.0,16.5,13.0,100.0,
0.010,1332,10000,91.6,89.8,0.7,0,12.13,11.10,3.04,6.7,4.1,100.0,136.7,100.0,100.0,100.0,1.0,0.0,0.03,38.25,13.92,88.0,88.0,0.00,0.0,7.36,13.92,100.0,0.0,0.0,16.5,13.0,100.0,
0.020,1332,10000,91.6,89.8,0.7,0,12.20,11.00,3.04,6.7,4.1,100.0,136.7,100.0,100.0,100.0,1.0,0.0,0.00,42.32,13.92,88.0,88.0,0.00,0.0,7.36,13.92,100.0,0.0,0.0,16.5,13.0,100.0,
0.030,0,10000,91.6,89.8,0.7,0,12.28,10.50,3.04,6.7,4.1,100.0,150.2,100.0,100.0,100.0,1.0,0.0,0.00,40.80,13.92,88.0,88.0,0.00,0.0,7.36,13.92,100.0,0.0,0.0,0.0,0.0,100.0,
0.040,0,10000,91.6,89.8,0.7,0,12.69,9.60,3.04,6.7,4.1,100.0,150.2,100.0,100.0,100.0,1.0,0.0,0.00,42.57,13.96,88.0,88.0,0.00,0.0,7.36,13.92,100.0,0.0,0.0,0.0,0.0,100.0,
0.050,0,10000,91.6,89.8,0.7,0,13.44,8.60,3.04,6.7,4.1,100.0,150.2,100.0,100.0,100.0,1.0,0.0,0.00,41.82,13.91,88.0,88.0,0.00,0.0,7.36,13.92,100.0,0.0,0.0,0.0,0.0,100.0,
0.060,0,10000,91.6,89.8,0.7,0,13.63,7.60,3.04,6.7,4.1,100.0,150.2,100.0,100.0,100.0,1.0,0.0,0.04,41.22,13.89,88.0,88.0,0.00,0.0,7.36,13.92,100.0,0.0,0.0,0.0,0.0,100.0,
0.070,0,10000,91.6,89.8,0.7,0,13.60,7.40,3.04,6.7,4.1,100.0,150.2,100.0,100.0,100.0,1.0,0.0,0.09,41.15,13.89,88.0,88.0,0.00,0.0,7.36,13.92,100.0,0.0,0.0,0.0,0.0,100.0,
0.080,0,10000,91.6,89.8,0.7,0,13.50,7.60,3.04,6.7,4.1,100.0,150.2,100.0,100.0,100.0,1.0,0.0,0.10,41.05,13.90,88.0,88.0,0.00,0.0,7.36,13.92,100.0,0.0,0.0,0.0,0.0,100.0,
0.090,0,10000,91.6,89.8,0.8,3,13.41,8.20,3.04,6.7,4.1,100.0,150.2,100.0,100.0,100.0,1.0,0.0,0.13,40.55,13.93,88.0,88.0,0.00,0.0,7.36,13.92,100.0,0.0,0.0,0.0,0.0,100.0,
0.100,0,10000,91.6,89.8,0.7,-3,13.36,8.70,3.04,6.7,4.1,100.0,150.2,100.0,100.0,100.0,1.0,0.0,0.14,40.47,13.93,88.0,88.0,0.00,0.0,7.36,13.92,100.0,0.0,0.0,0.0,0.0,100.0,
0.110,0,10000,91.6,89.8,0.7,0,13.38,9.10,3.04,6.7,4.1,100.0,150.2,100.0,100.0,100.0,1.0,0.0,0.14,40.20,13.92,88.0,88.0,0.00,0.0,7.36,13.92,100.0,0.0,0.0,0.0,0.0,100.0,
0.120,0,10000,91.6,89.8,0.7,0,13.50,9.50,3.04,6.7,4.1,100.0,150.2,100.0,100.0,100.0,1.0,0.0,0.14,39.92,13.92,88.0,88.0,0.00,0.0,7.36,13.92,100.0,0.0,0.0,0.0,0.0,100.0,
0.130,0,10000,91.6,89.8,0.7,0,13.66,9.80,3.04,6.7,4.1,100.0,150.2,100.0,100.0,100.0,1.0,0.0,0.14,39.84,13.92,88.0,88.0,0.00,0.0,7.36,13.92,100.0,0.0,0.0,0.0,0.0,100.0,
0.140,0,10000,91.6,89.8,0.7,0,13.76,10.10,3.04,6.7,4.1,100.0,150.2,100.0,100.0,100.0,1.0,0.0,0.11,39.57,13.91,88.0,88.0,0.00,0.0,7.36,13.92,100.0,0.0,0.0,0.0,0.0,100.0,
0.150,0,10000,91.6,89.8,0.7,0,13.80,10.30,3.04,6.7,4.1,100.0,150.2,100.0,100.0,100.0,1.0,0.0,0.08,39.47,13.93,88.0,88.0,0.00,0.0,7.36,13.92,100.0,0.0,0.0,0.0,0.0,100.0,
0.160,0,10000,91.6,89.8,0.7,0,13.82,10.40,3.04,6.7,4.1,100.0,150.2,100.0,100.0,100.0,1.0,0.0,0.04,39.22,13.92,88.0,88.0,0.00,0.0,7.36,13.92,100.0,0.0,0.0,0.0,0.0,100.0,
0.170,0,10000,91.6,89.8,0.7,0,13.83,10.30,3.04,6.7,4.1,100.0,150.2,100.0,100.0,100.0,1.0,0.0,0.00,39.07,13.93,88.0,88.0,0.00,0.0,7.36,13.92,100.0,0.0,0.0,0.0,0.0,100.0,
0.180,0,10000,91.6,89.8,0.7,0,13.83,10.00,3.04,6.7,4.1,100.0,150.2,100.0,100.0,100.0,1.0,0.0,0.00,39.00,13.92,88.0,88.0,0.00,0.0,7.36,13.92,100.0,0.0,0.0,0.0,0.0,100.0,
0.190,0,10000,91.6,89.8,0.7,0,13.83,9.50,3.04,6.7,4.1,100.0,150.2,100.0,100.0,100.0,1.0,0.0,0.00,38.77,13.92,88.0,88.0,0.00,0.0,7.36,13.92,100.0,0.0,0.0,0.0,0.0,100.0,
0.200,0,10000,91.6,89.8,0.7,0,13.83,8.90,3.04,6.7,4.1,100.0,150.2,100.0,100.0,100.0,1.0,0.0,0.00,38.72,13.93,88.0,88.0,0.00,0.0,7.36,13.92,100.0,0.0,0.0,0.0,0.0,100.0,
0.210,0,10000,91.6,89.8,0.7,0,13.83,8.60,3.04,6.7,4.1,100.0,150.2,100.0,100.0,100.0,1.0,0.0,0.00,38.57,13.93,88.0,88.0,0.00,0.0,7.36,13.92,100.0,0.0,0.0,0.0,0.0,100.0,
0.220,0,10000,91.6,89.8,0.7,0,13.83,8.80,3.04,6.7,4.1,100.0,150.2,100.0,100.0,100.0,1.0,0.0,0.00,38.45,13.92,88.0,88.0,0.00,0.0,7.36,13.92,100.0,0.0,0.0,0.0,0.0,100.0,
0.230,0,10000,91.6,89.8,0.7,0,13.83,9.20,3.04,6.7,4.1,100.0,150.2,100.0,100.0,100.0,1.0,0.0,0.00,38.32,13.92,88.0,88.0,0.00,0.0,7.36,13.92,100.0,0.0,0.0,0.0,0.0,100.0,
0.240,0,10000,91.6,89.8,0.8,3,13.83,9.60,3.04,6.7,4.1,100.0,150.2,100.0,100.0,100.0,1.0,0.0,0.00,38.22,13.93,88.0,88.0,0.00,0.0,7.36,13.92,100.0,0.0,0.0,0.0,0.0,100.0,
0.250,0,10000,91.6,89.8,0.7,-3,13.83,9.80,3.04,6.7,4.1,100.0,150.2,100.0,100.0,100.0,1.0,0.0,0.00,38.09,13.92,88.0,88.0,0.00,0.0,7.36,13.92,100.0,0.0,0.0,0.0,0.0,100.0,
0.260,0,10000,91.6,89.8,0.7,0,13.83,10.10,3.04,6.7,4.1,100.0,150.2,100.0,100.0,100.0,1.0,0.0,0.00,37.97,13.93,88.0,88.0,0.00,0.0,7.36,13.92,100.0,0.0,0.0,0.0,0.0,100.0,
0.270,0,10000,91.6,89.8,0.7,0,13.83,10.30,3.04,6.7,4.1,100.0,150.2,100.0,100.0,100.0,1.0,0.0,0.04,37.88,13.92,88.0,88.0,0.00,0.0,7.36,13.92,100.0,0.0,0.0,0.0,0.0,100.0,
0.280,205,0,91.6,89.8,0.7,0,13.83,10.50,3.57,1.2,3.4,100.0,150.2,100.0,100.0,100.0,1.0,0.0,0.08,37.80,13.93,88.0,88.0,0.00,0.0,7.36,12.94,100.0,0.0,0.0,2.5,2.0,100.0,
0.290,205,0,91.6,89.8,0.7,0,13.83,10.60,3.57,1.2,3.4,100.0,150.2,100.0,100.0,100.0,1.0,0.0,0.10,37.65,13.93,88.0,88.0,0.00,0.0,7.36,12.94,100.0,0.0,0.0,2.5,2.0,100.0,
