Time (sec),RPM,RPM Rate (RPM/sec),Air Temp (F),Coolant Temp (F),TPS (%),TPS Rate (%/sec),MAP (psi),Battery Volt (V),Fuel Open Time (ms),Fuel Duty Cycle (%),Fuel Angle (deg),Accel Compensation - Fuel (%),Starting Compensation - Fuel (%),Air Temp Compensation - Fuel (%),Coolant Temp Compensation - Fuel (%),U1: ÿÿÿÿÿÿÿÿ Compensation - Fuel (%),Ignition Angle (DBTDC),Coolant Temp Compensation - Ignition (deg),   Oil P,  Fuel P,  Comp P,Oil T (F),Res T (F),   EMPTY,  Comp S,Measured AFR #1,Target AFR,Lambda/AFR STF #1 (%),PWM Duty Cycle % #1,PWM Duty Cycle % #2,PWM Duty Cycle % #3,PWM Duty Cycle % #4,Accel Base Comp (%),
0.000,1100,9900,97.0,160.0,16.9,5,13.16,11.50,2.69,4.9,4.9,100.0,115.7,100.0,100.0,100.0,1.0,0.0,0.32,44.77,13.77,156.4,163.6,0.00,0.0,7.36,13.39,100.0,21.0,0.0,55.5,11.0,100.0,
0.010,1100,9900,97.0,160.0,16.9,0,13.48,11.50,2.69,4.9,4.9,100.0,115.7,100.0,100.0,100.0,1.0,0.0,0.26,45.17,13.78,156.4,163.6,0.00,0.0,7.36,13.39,100.0,21.0,0.0,55.5,11.0,100.0,
0.020,1100,9900,97.0,160.0,16.9,-2,13.67,11.50,2.69,4.9,4.9,100.0,115.7,100.0,100.0,100.0,1.0,0.0,0.15,43.77,13.77,156.4,163.6,0.00,0.0,7.36,13.39,100.0,21.0,0.0,55.5,11.0,100.0,
0.030,1100,9900,97.0,160.0,16.9,2,13.75,11.10,2.69,4.9,4.9,100.0,115.7,100.0,100.0,100.0,1.0,0.0,0.03,44.07,13.77,156.4,163.6,0.00,0.0,7.36,13.39,100.0,21.0,0.0,55.5,11.0,100.0,
0.040,0,9900,97.0,160.0,16.9,0,13.81,10.40,2.69,4.9,4.9,100.0,122.0,100.0,100.0,100.0,1.0,0.0,0.00,44.52,13.75,156.4,163.6,0.00,0.0,7.36,13.39,100.0,5.0,0.0,69.5,0.0,100.0,
0.050,0,9900,97.0,160.0,16.9,0,13.84,9.80,2.69,4.9,4.9,100.0,122.0,100.0,100.0,100.0,1.0,0.0,0.00,44.07,13.75,156.4,163.6,0.00,0.0,7.36,13.39,100.0,5.0,0.0,69.5,0.0,100.0,
0.060,0,9900,97.0,160.0,16.9,0,13.96,9.10,2.69,4.9,4.9,100.0,122.0,100.0,100.0,100.0,1.0,0.0,0.03,43.09,13.86,156.4,163.6,0.00,0.0,7.36,13.39,100.0,5.0,0.0,69.5,0.0,100.0,
0.070,0,9900,97.0,160.0,16.9,-2,14.25,8.40,2.69,4.9,4.9,100.0,122.0,100.0,100.0,100.0,1.0,0.0,0.15,42.57,13.89,156.4,163.6,0.00,0.0,7.36,13.39,100.0,5.0,0.0,69.5,0.0,100.0,
0.080,0,9900,97.0,160.0,16.9,2,14.10,8.30,2.69,4.9,4.9,100.0,122.0,100.0,100.0,100.0,1.0,0.0,0.21,42.13,13.80,156.4,163.6,0.00,0.0,7.36,13.39,100.0,5.0,0.0,69.5,0.0,100.0,
0.090,0,9900,97.0,160.0,16.9,0,14.00,8.60,2.69,4.9,4.9,100.0,122.0,100.0,100.0,100.0,1.0,0.0,0.18,41.95,13.75,156.4,163.6,0.00,0.0,7.36,13.39,100.0,5.0,0.0,69.5,0.0,100.0,
0.100,0,9900,97.0,160.0,16.9,0,13.92,9.00,2.69,4.9,4.9,100.0,122.0,100.0,100.0,100.0,1.0,0.0,0.14,41.65,13.75,156.4,163.6,0.00,0.0,7.36,13.39,100.0,5.0,0.0,69.5,0.0,100.0,
0.110,0,9900,97.0,160.0,16.8,-5,13.90,9.40,2.69,4.9,4.9,100.0,122.0,100.0,100.0,100.0,1.0,0.0,0.14,41.52,13.77,156.4,163.6,0.00,0.0,7.36,13.39,100.0,5.0,0.0,69.5,0.0,100.0,
0.120,0,9900,97.0,160.0,16.9,5,13.89,9.70,2.69,4.9,4.9,100.0,122.0,100.0,100.0,100.0,1.0,0.0,0.13,41.15,13.77,156.4,163.6,0.00,0.0,7.36,13.39,100.0,5.0,0.0,69.5,0.0,100.0,
0.130,0,9900,97.0,160.0,16.9,-2,13.87,10.00,2.69,4.9,4.9,100.0,122.0,100.0,100.0,100.0,1.0,0.0,0.14,40.90,13.77,156.4,163.6,0.00,0.0,7.36,13.39,100.0,5.0,0.0,69.5,0.0,100.0,
0.140,0,9900,97.0,160.0,16.9,2,13.88,10.10,2.69,4.9,4.9,100.0,122.0,100.0,100.0,100.0,1.0,0.0,0.12,40.75,13.77,156.4,163.6,0.00,0.0,7.36,13.39,100.0,5.0,0.0,69.5,0.0,100.0,
0.150,0,9900,97.0,160.0,16.9,-2,13.88,10.00,2.69,4.9,4.9,100.0,122.0,100.0,100.0,100.0,1.0,0.0,0.09,40.47,13.77,156.4,163.6,0.00,0.0,7.36,13.39,100.0,5.0,0.0,69.5,0.0,100.0,
0.160,0,9900,97.0,160.0,16.9,2,13.88,9.80,2.69,4.9,4.9,100.0,122.0,100.0,100.0,100.0,1.0,0.0,0.06,40.38,13.77,156.4,163.6,0.00,0.0,7.36,13.39,100.0,5.0,0.0,69.5,0.0,100.0,
0.170,0,9900,97.0,160.0,16.9,0,13.86,9.50,2.69,4.9,4.9,100.0,122.0,100.0,100.0,100.0,1.0,0.0,0.05,40.07,13.75,156.4,163.6,0.00,0.0,7.36,13.39,100.0,5.0,0.0,69.5,0.0,100.0,
0.180,0,9900,97.0,160.0,16.8,-5,13.85,9.20,2.69,4.9,4.9,100.0,122.0,100.0,100.0,100.0,1.0,0.0,0.03,39.92,13.77,156.4,163.6,0.00,0.0,7.36,13.39,100.0,5.0,0.0,69.5,0.0,100.0,
0.190,0,9900,97.0,160.0,16.9,5,13.85,9.20,2.69,4.9,4.9,100.0,122.0,100.0,100.0,100.0,1.0,0.0,0.02,39.82,13.77,156.4,163.6,0.00,0.0,7.36,13.39,100.0,5.0,0.0,69.5,0.0,100.0,
0.200,0,9900,97.0,160.0,16.9,-2,13.87,9.50,2.69,4.9,4.9,100.0,122.0,100.0,100.0,100.0,1.0,0.0,0.05,39.63,13.75,156.4,163.6,0.00,0.0,7.36,13.39,100.0,5.0,0.0,69.5,0.0,100.0,
0.210,0,9900,97.0,160.0,16.8,-6,13.88,9.80,2.69,4.9,4.9,100.0,122.0,100.0,100.0,100.0,1.0,0.0,0.09,39.40,13.77,156.4,163.6,0.00,0.0,7.36,13.39,100.0,5.0,0.0,69.5,0.0,100.0,
0.220,0,9900,97.0,160.0,16.8,3,13.86,10.10,2.69,4.9,4.9,100.0,122.0,100.0,100.0,100.0,1.0,0.0,0.19,39.25,13.75,156.4,163.6,0.00,0.0,7.36,13.39,100.0,5.0,0.0,69.5,0.0,100.0,
0.230,0,9900,97.0,160.0,16.9,5,13.85,10.40,2.69,4.9,4.9,100.0,122.0,100.0,100.0,100.0,1.0,0.0,0.25,39.15,13.79,156.4,163.6,0.00,0.0,7.36,13.39,100.0,5.0,0.0,69.5,0.0,100.0,
0.240,0,9900,97.0,160.0,16.9,-2,13.87,10.60,2.69,4.9,4.9,100.0,122.0,100.0,100.0,100.0,1.0,0.0,0.23,39.02,13.77,156.4,163.6,0.00,0.0,7.36,13.39,100.0,5.0,0.0,69.5,0.0,100.0,
0.250,0,9900,97.0,160.0,16.9,2,13.86,10.80,2.69,4.9,4.9,100.0,122.0,100.0,100.0,100.0,1.0,0.0,0.21,38.80,13.77,156.4,163.6,0.00,0.0,7.36,13.39,100.0,5.0,0.0,69.5,0.0,100.0,
0.260,220,0,97.0,160.0,16.9,0,13.87,10.90,3.01,1.1,4.2,100.0,122.0,100.0,100.0,100.0,1.0,0.0,0.19,38.75,13.77,156.4,163.6,0.00,0.0,7.36,12.94,100.0,8.5,0.0,66.5,2.0,100.0,
0.270,220,0,97.0,160.0,16.9,0,13.88,11.00,3.01,1.1,4.2,100.0,122.0,100.0,100.0,100.0,1.0,0.0,0.21,38.59,13.77,156.4,163.6,0.00,0.0,7.36,12.94,100.0,8.5,0.0,66.5,2.0,100.0,
0.280,220,0,97.0,160.0,16.9,0,13.88,11.10,3.01,1.1,4.2,100.0,122.0,100.0,100.0,100.0,1.0,0.0,0.18,39.15,13.75,156.4,163.6,0.00,0.0,7.36,12.94,100.0,8.5,0.0,66.5,2.0,100.0,
0.290,220,0,97.0,160.0,16.9,-2,13.88,11.10,3.01,1.1,4.2,100.0,122.0,100.0,100.0,100.0,1.0,0.0,0.17,41.67,13.77,156.4,163.6,0.00,0.0,7.36,12.94,100.0,8.5,0.0,66.5,2.0,100.0,
0.300,220,0,97.0,160.0,16.9,2,13.88,11.20,3.01,1.1,4.2,100.0,122.0,100.0,100.0,100.0,1.0,0.0,0.18,43.88,13.75,156.4,163.6,0.00,0.0,7.36,12.94,100.0,8.5,0.0,66.5,2.0,100.0,
0.310,220,0,97.0,160.0,16.9,0,13.88,11.30,3.01,1.1,4.2,100.0,122.0,100.0,100.0,100.0,1.0,0.0,0.14,44.92,13.78,156.4,163.6,0.00,0.0,7.36,12.94,100.0,8.5,0.0,66.5,2.0,100.0,
0.320,220,0,97.0,160.0,16.9,0,13.88,11.30,3.01,1.1,4.2,100.0,122.0,100.0,100.0,100.0,1.0,0.0,0.12,43.92,13.77,156.4,163.6,0.00,0.0,7.36,12.94,100.0,8.5,0.0,66.5,2.0,100.0,
0.330,220,0,97.0,160.0,16.9,0,13.86,11.40,3.01,1.1,4.2,100.0,122.0,100.0,100.0,100.0,1.0,0.0,0.10,44.63,13.75,156.4,163.6,0.00,0.0,7.36,12.94,100.0,8.5,0.0,66.5,2.0,100.0,
0.340,220,0,97.0,160.0,16.9,0,13.83,11.40,3.01,1.1,4.2,100.0,122.0,100.0,100.0,100.0,1.0,0.0,0.10,44.30,13.75,156.4,163.6,0.00,0.0,7.36,12.94,100.0,8.5,0.0,66.5,2.0,100.0,
0.350,220,0,97.0,160.0,16.9,0,13.70,11.50,3.01,1.1,4.2,100.0,122.0,100.0,100.0,100.0,1.0,0.0,0.10,45.05,13.73,156.4,163.6,0.00,0.0,7.36,12.94,100.0,8.5,0.0,66.5,2.0,100.0,
