Time (sec),RPM,RPM Rate (RPM/sec),Air Temp (F),Coolant Temp (F),TPS (%),TPS Rate (%/sec),MAP (psi),Battery Volt (V),Fuel Open Time (ms),Fuel Duty Cycle (%),Fuel Angle (deg),Accel Compensation - Fuel (%),Starting Compensation - Fuel (%),Air Temp Compensation - Fuel (%),Coolant Temp Compensation - Fuel (%),U1: ÿÿÿÿÿÿÿÿ Compensation - Fuel (%),Ignition Angle (DBTDC),Coolant Temp Compensation - Ignition (deg),   Oil P,  Fuel P,  Comp P,Oil T (F),Res T (F),   EMPTY,  Comp S,Measured AFR #1,Target AFR,Lambda/AFR STF #1 (%),PWM Duty Cycle % #1,PWM Duty Cycle % #2,PWM Duty Cycle % #3,PWM Duty Cycle % #4,Accel Base Comp (%),
0.000,1208,10000,106.0,120.4,14.0,0,12.82,11.60,2.86,5.8,3.6,100.0,127.7,100.0,100.0,100.0,1.0,0.0,0.38,44.25,13.83,118.6,120.4,0.00,0.0,7.36,13.63,100.0,0.0,0.0,18.5,12.0,100.0,
0.010,1208,10000,106.0,120.4,14.0,-2,13.15,11.70,2.86,5.8,3.6,100.0,127.7,100.0,100.0,100.0,1.0,0.0,0.37,44.17,13.81,118.6,120.4,0.00,0.0,7.36,13.63,100.0,0.0,0.0,18.5,12.0,100.0,
0.020,1208,10000,106.0,120.4,14.0,0,13.43,11.70,2.86,5.8,3.6,100.0,127.7,100.0,100.0,100.0,1.0,0.0,0.32,43.22,13.82,118.6,120.4,0.00,0.0,7.36,13.63,100.0,0.0,0.0,18.5,12.0,100.0,
0.030,0,10000,106.0,120.4,14.0,2,13.62,11.30,2.86,5.8,3.6,100.0,128.2,100.0,100.0,100.0,1.0,0.0,0.24,44.30,13.84,118.6,120.4,0.00,0.0,7.36,13.63,100.0,0.0,0.0,5.0,0.0,100.0,
0.040,0,10000,106.0,120.4,14.0,6,14.22,10.80,2.86,5.8,3.6,100.0,128.2,100.0,100.0,100.0,1.0,0.0,0.14,45.30,14.18,118.6,120.4,0.00,0.0,7.36,13.63,100.0,0.0,0.0,5.0,0.0,100.0,
0.050,0,10000,106.0,120.4,14.1,8,15.21,10.00,2.86,5.8,3.6,100.0,128.2,100.0,100.0,100.0,1.0,0.0,0.14,44.65,13.97,118.6,120.4,0.00,0.0,7.36,13.63,100.0,0.0,0.0,5.0,0.0,100.0,
0.060,864,0,106.0,120.4,14.3,19,15.68,9.30,3.10,4.5,4.5,100.0,127.7,100.0,100.0,100.0,1.0,0.0,0.13,43.97,14.16,118.6,120.4,0.00,0.0,7.36,12.94,100.0,0.0,0.0,14.5,8.5,100.0,
0.071,864,0,106.0,120.4,15.5,122,15.59,8.60,3.10,4.5,4.5,102.0,127.7,100.0,100.0,100.0,1.0,0.0,0.10,43.70,14.11,118.6,120.4,0.00,0.0,7.36,12.94,100.0,0.0,0.0,14.5,8.5,102.0,
0.081,864,0,106.0,120.4,16.6,105,15.04,8.50,3.10,4.5,4.5,101.9,127.7,100.0,100.0,100.0,1.0,0.0,0.10,43.67,13.96,118.6,120.4,0.00,0.0,7.36,12.94,100.0,0.0,0.0,14.5,8.5,101.6,
0.091,864,0,106.0,120.4,17.5,93,14.46,8.90,3.10,4.5,4.5,101.9,127.7,100.0,100.0,100.0,1.0,0.0,0.13,43.20,13.77,118.6,120.4,0.00,0.0,7.36,12.94,100.0,0.0,0.0,14.5,8.5,101.3,
0.100,0,0,107.8,120.4,18.2,73,14.04,9.30,3.10,4.5,4.5,100.0,128.2,100.0,100.0,100.0,1.0,0.0,0.13,42.88,13.79,118.6,120.4,0.00,0.0,7.36,12.94,100.0,0.0,0.0,5.0,0.0,100.9,
