Time (sec),RPM,RPM Rate (RPM/sec),Air Temp (F),Coolant Temp (F),TPS (%),TPS Rate (%/sec),MAP (psi),Battery Volt (V),Fuel Open Time (ms),Fuel Duty Cycle (%),Fuel Angle (deg),Accel Compensation - Fuel (%),Starting Compensation - Fuel (%),Air Temp Compensation - Fuel (%),Coolant Temp Compensation - Fuel (%),U1: ÿÿÿÿÿÿÿÿ Compensation - Fuel (%),Ignition Angle (DBTDC),Coolant Temp Compensation - Ignition (deg),   Oil P,  Fuel P,  Comp P,Oil T (F),Res T (F),   EMPTY,  Comp S,Measured AFR #1,Target AFR,Lambda/AFR STF #1 (%),PWM Duty Cycle % #1,PWM Duty Cycle % #2,PWM Duty Cycle % #3,PWM Duty Cycle % #4,Accel Base Comp (%),
0.000,1222,10000,98.8,160.0,16.9,2,13.11,11.40,2.68,5.5,4.7,100.0,115.7,100.0,100.0,100.0,1.0,0.0,0.32,44.59,13.77,156.4,163.6,0.00,0.0,7.36,13.67,100.0,23.0,0.0,54.0,12.0,100.0,
0.010,1222,10000,98.8,160.0,16.8,-5,13.43,11.50,2.68,5.5,4.7,100.0,115.7,100.0,100.0,100.0,1.0,0.0,0.25,43.32,13.77,156.4,163.6,0.00,0.0,7.36,13.67,100.0,23.0,0.0,54.0,12.0,100.0,
0.020,1222,10000,98.8,160.0,16.9,5,13.64,11.40,2.68,5.5,4.7,100.0,115.7,100.0,100.0,100.0,1.0,0.0,0.08,44.45,13.77,156.4,163.6,0.00,0.0,7.36,13.67,100.0,23.0,0.0,54.0,12.0,100.0,
0.030,0,10000,98.8,160.0,16.9,0,13.75,11.00,2.68,5.5,4.7,100.0,122.0,100.0,100.0,100.0,1.0,0.0,0.00,44.27,13.75,156.4,163.6,0.00,0.0,7.36,13.67,100.0,5.0,0.0,69.5,0.0,100.0,
0.040,0,10000,98.8,160.0,16.9,0,14.21,10.50,2.68,5.5,4.7,100.0,122.0,100.0,100.0,100.0,1.0,0.0,0.00,45.00,14.07,156.4,163.6,0.00,0.0,7.36,13.67,100.0,5.0,0.0,69.5,0.0,100.0,
0.050,0,10000,98.8,160.0,16.9,0,15.13,9.80,2.68,5.5,4.7,100.0,122.0,100.0,100.0,100.0,1.0,0.0,0.07,44.02,14.15,156.4,163.6,0.00,0.0,7.36,13.67,100.0,5.0,0.0,69.5,0.0,100.0,
0.060,0,10000,100.6,160.0,16.9,0,15.23,9.10,2.68,5.5,4.7,100.0,122.0,100.0,100.0,100.0,1.0,0.0,0.18,43.59,14.09,156.4,163.6,0.00,0.0,7.36,13.67,100.0,5.0,0.0,69.5,0.0,100.0,
0.070,0,10000,100.6,160.0,16.9,0,14.96,8.60,2.68,5.5,4.7,100.0,122.0,100.0,100.0,100.0,1.0,0.0,0.11,43.40,13.93,156.4,163.6,0.00,0.0,7.36,13.67,100.0,5.0,0.0,69.5,0.0,100.0,
0.080,0,10000,100.6,160.0,16.9,-2,14.47,8.70,2.68,5.5,4.7,100.0,122.0,100.0,100.0,100.0,1.0,0.0,0.10,43.05,13.78,156.4,163.6,0.00,0.0,7.36,13.67,100.0,5.0,0.0,69.5,0.0,100.0,
0.090,0,10000,100.6,160.0,16.9,2,14.10,9.10,2.68,5.5,4.7,100.0,122.0,100.0,100.0,100.0,1.0,0.0,0.11,42.57,13.73,156.4,163.6,0.00,0.0,7.36,13.67,100.0,5.0,0.0,69.5,0.0,100.0,
0.100,0,10000,100.6,160.0,16.9,-2,13.90,9.50,2.68,5.5,4.7,100.0,122.0,100.0,100.0,100.0,1.0,0.0,0.14,42.38,13.77,156.4,163.6,0.00,0.0,7.36,13.67,100.0,5.0,0.0,69.5,0.0,100.0,
0.110,0,10000,100.6,160.0,16.8,-3,13.83,9.80,2.68,5.5,4.7,100.0,122.0,100.0,100.0,100.0,1.0,0.0,0.14,42.17,13.77,156.4,163.6,0.00,0.0,7.36,13.67,100.0,5.0,0.0,69.5,0.0,100.0,
0.120,0,10000,100.6,160.0,16.9,3,13.79,10.10,2.68,5.5,4.7,100.0,122.0,100.0,100.0,100.0,1.0,0.0,0.15,41.82,13.75,156.4,163.6,0.00,0.0,7.36,13.67,100.0,5.0,0.0,69.5,0.0,100.0,
0.130,422,0,100.6,160.0,16.9,2,13.83,10.30,3.13,2.2,4.3,100.0,115.7,100.0,100.0,100.0,1.0,0.0,0.18,41.65,13.77,156.4,163.6,0.00,0.0,7.36,12.94,100.0,11.5,0.0,64.0,4.0,100.0,
0.140,422,0,100.6,160.0,16.9,-2,13.87,10.50,3.13,2.2,4.3,100.0,115.7,100.0,100.0,100.0,1.0,0.0,0.18,41.40,13.78,156.4,163.6,0.00,0.0,7.36,12.94,100.0,11.5,0.0,64.0,4.0,100.0,
0.150,422,0,100.6,160.0,16.8,-3,13.92,10.60,3.13,2.2,4.3,100.0,115.7,100.0,100.0,100.0,1.0,0.0,0.18,41.25,13.78,156.4,163.6,0.00,0.0,7.36,12.94,100.0,11.5,0.0,64.0,4.0,100.0,
