Time (sec),RPM,RPM Rate (RPM/sec),Air Temp (F),Coolant Temp (F),TPS (%),TPS Rate (%/sec),MAP (psi),Battery Volt (V),Fuel Open Time (ms),Fuel Duty Cycle (%),Fuel Angle (deg),Accel Compensation - Fuel (%),Starting Compensation - Fuel (%),Air Temp Compensation - Fuel (%),Coolant Temp Compensation - Fuel (%),U1: ÿÿÿÿÿÿÿÿ Compensation - Fuel (%),Ignition Angle (DBTDC),Coolant Temp Compensation - Ignition (deg),   Oil P,  Fuel P,  Comp P,Oil T (F),Res T (F),   EMPTY,  Comp S,Measured AFR #1,Target AFR,Lambda/AFR STF #1 (%),PWM Duty Cycle % #1,PWM Duty Cycle % #2,PWM Duty Cycle % #3,PWM Duty Cycle % #4,Accel Base Comp (%),
0.000,2114,10000,104.2,158.2,17.3,6,13.11,11.00,2.81,9.9,7.0,100.0,116.2,100.0,100.0,100.0,1.0,0.0,0.49,40.45,13.81,151.0,161.8,0.00,0.0,7.36,13.97,100.0,25.0,0.0,47.5,21.0,100.0,
0.010,2114,10000,104.2,158.2,17.2,-6,13.22,11.10,2.81,9.9,7.0,100.0,116.2,100.0,100.0,100.0,1.0,0.0,0.49,38.90,13.82,151.0,161.8,0.00,0.0,7.36,13.97,100.0,25.0,0.0,47.5,21.0,100.0,
0.020,2114,10000,104.2,158.2,17.3,3,13.44,11.30,2.81,9.9,7.0,100.0,116.2,100.0,100.0,100.0,1.0,0.0,0.43,42.40,13.81,151.0,161.8,0.00,0.0,7.36,13.97,100.0,25.0,0.0,47.5,21.0,100.0,
0.030,1795,-9545,104.2,158.2,17.2,-8,13.67,11.50,2.77,8.3,8.5,100.0,116.2,100.0,100.0,100.0,1.0,0.0,0.41,43.55,13.82,151.0,161.8,0.00,0.0,7.36,13.97,100.0,25.0,0.0,47.5,17.5,100.0,
0.040,1795,-9545,104.2,158.2,17.3,8,13.79,11.60,2.77,8.3,8.5,100.0,116.2,100.0,100.0,100.0,1.0,0.0,0.44,43.75,13.82,151.0,161.8,0.00,0.0,7.36,13.97,100.0,25.0,0.0,47.5,17.5,100.0,
0.050,1795,-9545,104.2,158.2,17.3,0,13.96,11.70,2.77,8.3,8.5,100.0,116.2,100.0,100.0,100.0,1.0,0.0,0.36,44.63,13.86,151.0,161.8,0.00,0.0,7.36,13.97,100.0,25.0,0.0,47.5,17.5,100.0,
0.060,1653,-9545,104.2,158.2,17.2,-3,13.40,11.80,2.77,8.3,8.5,100.0,116.2,100.0,100.0,100.0,1.0,0.0,0.38,43.80,13.66,151.0,161.8,0.00,0.0,7.36,13.97,100.0,25.0,0.0,47.5,16.5,100.0,
0.070,1653,-3914,104.2,158.2,17.3,6,12.98,12.00,2.67,7.4,9.5,100.0,116.2,100.0,100.0,100.0,1.0,0.0,0.43,44.30,13.77,151.0,161.8,0.00,0.0,7.36,13.97,100.0,25.0,0.0,47.5,16.5,100.0,
0.080,0,-3914,104.2,158.2,17.2,-6,13.23,12.00,2.67,7.4,9.5,100.0,116.9,100.0,100.0,100.0,1.0,0.0,0.43,42.17,13.80,151.0,161.8,0.00,0.0,7.36,13.97,100.0,0.5,0.0,68.5,0.0,100.0,
0.090,0,-3914,104.2,158.2,17.3,3,13.50,12.00,2.67,7.4,9.5,100.0,116.9,100.0,100.0,100.0,1.0,0.0,0.36,44.22,13.82,151.0,161.8,0.00,0.0,7.36,13.97,100.0,0.5,0.0,68.5,0.0,100.0,
0.100,1853,0,104.2,158.2,17.2,-3,13.70,12.30,2.65,8.2,10.6,100.0,116.2,100.0,100.0,100.0,1.0,0.0,0.25,42.67,13.83,151.0,161.8,0.00,0.0,7.36,13.97,100.0,25.0,0.0,47.5,18.5,100.0,
0.110,0,0,104.2,158.2,17.2,0,13.81,12.50,2.65,8.2,10.6,100.0,116.9,100.0,100.0,100.0,1.0,0.0,0.30,43.34,13.81,151.0,161.8,0.00,0.0,7.36,13.97,100.0,0.5,0.0,68.5,0.0,100.0,
0.120,0,0,104.2,158.2,17.3,3,13.84,12.70,2.65,8.2,10.6,100.0,116.9,100.0,100.0,100.0,1.0,0.0,0.39,45.22,13.79,151.0,161.8,0.00,0.0,7.36,13.97,100.0,0.5,0.0,68.5,0.0,100.0,
0.130,0,0,104.2,158.2,17.2,-3,13.88,12.80,2.65,8.2,10.6,100.0,116.9,100.0,100.0,100.0,1.0,0.0,0.41,43.92,13.80,151.0,161.8,0.00,0.0,7.36,13.97,100.0,0.5,0.0,68.5,0.0,100.0,
0.140,0,0,104.2,158.2,17.3,6,13.94,12.80,2.65,8.2,10.6,100.0,116.9,100.0,100.0,100.0,1.0,0.0,0.34,42.22,13.86,151.0,161.8,0.00,0.0,7.36,13.97,100.0,0.5,0.0,68.5,0.0,100.0,
0.150,0,0,104.2,158.2,17.2,-6,13.85,12.30,2.65,8.2,10.6,100.0,116.9,100.0,100.0,100.0,1.0,0.0,0.32,41.92,13.70,151.0,161.8,0.00,0.0,7.36,13.97,100.0,0.5,0.0,68.5,0.0,100.0,
0.160,0,0,104.2,158.2,17.2,0,13.30,12.20,2.65,8.2,10.6,100.0,116.9,100.0,100.0,100.0,1.0,0.0,0.31,41.40,13.72,151.0,161.8,0.00,0.0,7.36,13.97,100.0,0.5,0.0,68.5,0.0,100.0,
0.170,771,0,104.2,158.2,17.3,3,12.86,12.10,2.65,8.2,10.6,100.0,116.2,100.0,100.0,100.0,1.0,0.0,0.35,41.02,13.75,151.0,161.8,0.00,0.0,7.36,13.97,100.0,12.5,0.0,58.0,7.5,100.0,
0.180,771,0,104.2,158.2,17.2,-5,12.90,12.10,2.63,3.4,9.7,100.0,116.2,100.0,100.0,100.0,1.0,0.0,0.39,40.72,13.78,151.0,161.8,0.00,0.0,7.36,12.94,100.0,12.5,0.0,58.0,7.5,100.0,
0.190,771,0,104.2,158.2,17.3,8,13.34,12.10,2.63,3.4,9.7,100.0,116.2,100.0,100.0,100.0,1.0,0.0,0.41,40.47,13.83,151.0,161.8,0.00,0.0,7.36,12.94,100.0,12.5,0.0,58.0,7.5,100.0,
0.200,0,0,104.2,158.2,17.2,-6,13.62,12.10,2.63,3.4,9.7,100.0,116.9,100.0,100.0,100.0,1.0,0.0,0.34,40.59,13.86,151.0,161.8,0.00,0.0,7.36,12.94,100.0,0.5,0.0,68.5,0.0,100.0,
0.210,0,0,104.2,158.2,17.2,0,13.76,12.10,2.63,3.4,9.7,100.0,116.9,100.0,100.0,100.0,1.0,0.0,0.26,43.67,13.80,151.0,161.8,0.00,0.0,7.36,12.94,100.0,0.5,0.0,68.5,0.0,100.0,
0.220,1200,0,104.2,158.2,17.3,6,13.82,11.60,2.63,3.4,9.7,100.0,116.2,100.0,100.0,100.0,1.0,0.0,0.19,43.00,13.80,151.0,161.8,0.00,0.0,7.36,12.94,100.0,19.5,0.0,52.5,12.0,100.0,
0.230,1200,0,104.2,158.2,17.2,-6,13.87,11.00,2.73,5.5,9.8,100.0,116.2,100.0,100.0,100.0,1.0,0.0,0.09,42.50,13.82,151.0,161.8,0.00,0.0,7.36,13.61,100.0,19.5,0.0,52.5,12.0,100.0,
0.240,1200,0,104.2,158.2,17.2,0,14.78,10.30,2.73,5.5,9.8,100.0,116.2,100.0,100.0,100.0,1.0,0.0,0.13,42.09,14.18,151.0,161.8,0.00,0.0,7.36,13.61,100.0,19.5,0.0,52.5,12.0,100.0,
0.250,1200,0,104.2,158.2,17.3,3,15.03,9.50,2.73,5.5,9.8,100.0,116.2,100.0,100.0,100.0,1.0,0.0,0.21,40.77,14.25,151.0,161.8,0.00,0.0,7.36,13.61,100.0,19.5,0.0,52.5,12.0,100.0,
0.260,1200,0,104.2,158.2,17.2,-5,14.85,8.80,2.73,5.5,9.8,100.0,116.2,100.0,100.0,100.0,1.0,0.0,0.21,38.82,13.97,151.0,161.8,0.00,0.0,7.36,13.61,100.0,19.5,0.0,52.5,12.0,100.0,
0.270,1200,0,104.2,158.2,17.2,2,14.44,8.80,2.73,5.5,9.8,100.0,116.2,100.0,100.0,100.0,1.0,0.0,0.21,40.22,13.78,151.0,161.8,0.00,0.0,7.36,13.61,100.0,19.5,0.0,52.5,12.0,100.0,
0.280,1200,0,104.2,158.2,17.2,-2,14.12,9.10,2.73,5.5,9.8,100.0,116.2,100.0,100.0,100.0,1.0,0.0,0.21,39.70,13.77,151.0,161.8,0.00,0.0,7.36,13.61,100.0,19.5,0.0,52.5,12.0,100.0,
0.290,0,0,104.2,158.2,17.3,5,13.95,9.50,2.73,5.5,9.8,100.0,116.9,100.0,100.0,100.0,1.0,0.0,0.21,38.97,13.82,151.0,161.8,0.00,0.0,7.36,13.61,100.0,0.5,0.0,68.5,0.0,100.0,
0.300,0,0,106.0,158.2,17.2,-3,13.88,9.90,2.73,5.5,9.8,100.0,116.9,100.0,100.0,100.0,1.0,0.0,0.21,39.42,13.79,151.0,161.8,0.00,0.0,7.36,13.61,100.0,0.5,0.0,68.5,0.0,100.0,
