Time (sec),RPM,RPM Rate (RPM/sec),Air Temp (F),Coolant Temp (F),TPS (%),TPS Rate (%/sec),MAP (psi),Battery Volt (V),Fuel Open Time (ms),Fuel Duty Cycle (%),Fuel Angle (deg),Accel Compensation - Fuel (%),Starting Compensation - Fuel (%),Air Temp Compensation - Fuel (%),Coolant Temp Compensation - Fuel (%),U1: ÿÿÿÿÿÿÿÿ Compensation - Fuel (%),Ignition Angle (DBTDC),Coolant Temp Compensation - Ignition (deg),   Oil P,  Fuel P,  Comp P,Oil T (F),Res T (F),   EMPTY,  Comp S,Measured AFR #1,Target AFR,Lambda/AFR STF #1 (%),PWM Duty Cycle % #1,PWM Duty Cycle % #2,PWM Duty Cycle % #3,PWM Duty Cycle % #4,Accel Base Comp (%),
0.000,1506,10000,111.4,158.2,15.0,0,13.01,11.50,2.80,7.0,4.9,100.0,116.2,100.0,100.0,100.0,1.0,0.0,0.34,43.07,13.80,147.4,161.8,0.00,0.0,7.36,13.97,100.0,24.0,0.0,48.0,15.0,100.3,
0.010,0,10000,111.4,158.2,15.0,0,13.30,11.50,2.80,7.0,4.9,100.0,116.9,100.0,100.0,100.0,1.0,0.0,0.30,41.22,13.80,147.4,161.8,0.00,0.0,7.36,13.97,100.0,0.5,0.0,68.5,0.0,100.3,
0.020,1620,10000,111.4,158.2,15.0,3,13.55,11.50,2.80,7.0,4.9,100.0,116.2,100.0,100.0,100.0,1.0,0.0,0.25,43.50,13.83,147.4,161.8,0.00,0.0,7.36,13.97,100.0,25.0,0.0,47.5,16.0,100.3,
0.030,0,0,111.4,158.2,15.0,0,13.73,11.50,2.76,7.5,6.7,100.0,116.9,100.0,100.0,100.0,1.0,0.0,0.14,42.13,13.84,147.4,161.8,0.00,0.0,7.36,13.97,100.0,0.5,0.0,68.5,0.0,100.3,
0.040,0,0,111.4,158.2,15.0,0,13.80,11.60,2.76,7.5,6.7,100.0,116.9,100.0,100.0,100.0,1.0,0.0,0.27,41.97,13.82,147.4,161.8,0.00,0.0,7.36,13.97,100.0,0.5,0.0,68.5,0.0,100.3,
0.050,0,0,111.4,158.2,15.0,0,13.92,12.10,2.76,7.5,6.7,100.0,116.9,100.0,100.0,100.0,1.0,0.0,0.29,41.75,13.93,147.4,161.8,0.00,0.0,7.38,13.97,100.0,0.5,0.0,68.5,0.0,100.3,
0.060,1648,0,111.4,158.2,15.0,0,13.42,12.50,2.64,7.3,8.1,100.0,116.2,100.0,100.0,100.0,1.0,0.0,0.41,41.67,13.62,147.4,161.8,0.00,0.0,7.38,13.97,100.0,25.0,0.0,47.5,16.0,100.3,
0.070,1648,0,111.4,158.2,15.0,-3,13.01,12.70,2.64,7.3,8.1,100.0,116.2,100.0,100.0,100.0,1.0,0.0,0.43,39.57,13.82,147.4,161.8,0.00,0.0,7.36,13.97,100.0,25.0,0.0,47.5,16.0,100.3,
0.080,1648,0,111.4,158.2,15.0,3,13.15,12.50,2.64,7.3,8.1,100.0,116.2,100.0,100.0,100.0,1.0,0.0,0.42,39.90,13.78,147.4,161.8,0.00,0.0,7.38,13.97,100.0,25.0,0.0,47.5,16.0,100.3,
0.090,2099,10000,111.4,158.2,15.0,-3,13.39,12.50,2.33,8.2,9.8,100.0,116.2,100.0,100.0,100.0,1.0,0.0,0.45,38.25,13.82,147.4,161.8,0.00,0.0,7.39,13.97,100.0,25.0,0.0,47.5,20.5,100.3,
0.100,2099,10000,111.4,158.2,15.0,3,13.60,12.00,2.33,8.2,9.8,100.0,116.2,100.0,100.0,100.0,1.0,0.0,0.45,41.63,13.84,147.4,161.8,0.00,0.0,7.38,13.97,100.0,25.0,0.0,47.5,20.5,100.3,
0.110,2099,10000,111.4,158.2,15.0,-8,13.75,11.70,2.33,8.2,9.8,100.0,116.2,100.0,100.0,100.0,1.0,0.0,0.41,44.02,13.77,147.4,161.8,0.00,0.0,7.39,13.97,100.0,25.0,0.0,47.5,20.5,100.3,
0.121,2030,-2335,111.4,158.2,15.0,8,13.08,11.70,2.64,8.9,11.1,100.0,116.2,100.0,100.0,100.0,1.0,0.0,0.47,43.50,13.79,147.4,161.8,0.00,0.0,7.39,13.97,100.0,25.0,0.0,47.5,20.0,100.3,
0.130,2030,-2335,111.4,158.2,15.0,-3,12.96,11.70,2.64,8.9,11.1,100.0,116.2,100.0,100.0,100.0,1.0,0.0,0.45,42.88,13.83,147.4,161.8,0.00,0.0,7.38,13.97,100.0,25.0,0.0,47.5,20.0,100.3,
0.140,2030,-2335,111.4,158.2,15.0,0,13.18,11.80,2.64,8.9,11.1,100.0,116.2,100.0,100.0,100.0,1.0,0.0,0.41,44.38,13.82,147.4,161.8,0.00,0.0,7.39,13.97,100.0,25.0,0.0,47.5,20.0,100.3,
0.150,1994,-1196,111.4,158.2,15.0,3,13.45,12.60,2.50,8.3,12.0,100.0,116.2,100.0,100.0,100.0,1.0,0.0,0.41,44.17,13.86,147.4,161.8,0.00,0.0,7.39,13.97,100.0,25.0,0.0,47.5,19.5,100.3,
